text,expectedStatus,testDescription
"Hello World",200,"Simple text message with no special characters"
"I :heart: Postman",200,"Text with heart icon code"
"Happy :smile: Day",200,"Text with smile icon code"
"You're a :star:",200,"Text with star icon at end"
":ball: :sun: :heart: :smile: :star:",200,"Multiple valid icon codes"
"Test!@#$%&/()=?",200,"Text with supported special characters"
"Grüße aus München",200,"German text with umlauts"
"Café à Paris",200,"French text with accents"
"Time is 12::30",200,"Text with escaped colon sequence"
"Hello :heart: World :smile: Everyone",200,"Mixed text and multiple icons"
":heart:",200,"Single icon only"
"1234567890",200,"Numbers only"
":heart::smile::star::ball::sun:",200,"Multiple icons with no spaces"
"The quick brown fox jumps over the lazy dog. This is a longer message to test the LED display with more content. It includes multiple sentences and should still work fine with the API endpoint.",200,"Very long text message (200+ characters)"
"Hello 🌍 World",400,"Invalid Unicode emoji - globe"
"🎉🎊🎈",400,"Multiple Unicode emoji characters"
"Party 🎉 Time",400,"Mixed valid text with Unicode emoji"
"I ❤️ you",400,"Unicode heart emoji instead of icon code"
"Happy 😊 Day",400,"Unicode smiley emoji"
"",200,"Empty text field"
":invalid: icon",400,"Invalid icon code - likely passes through as text"
"äöüÄÖÜß",200,"German umlauts only"
"Test :heart: with 🎉 mixed",400,"Valid icon code mixed with Unicode emoji"
"àäòöùüèéêëôöûîïÿç",200,"Multiple French and European accents"
